region,p1_01,p1_02,p1_03,p1_04,P1,p2_01,p2_02,p2_03,p2_04,p2_05,p2_06,p2_07,p2_08,p2_09,p2_10,P2,p3_01,p3_02,P3,p4_02,p4_03,p4_05,p4_06,p4_07,p4_08,P4,p5_01,p5_02,p5_03,p5_07,P5,p6_01,p6_02,p6_03,p6_04,p6_09,p6_05,p6_06,p6_07,p6_08,P6,p7_01,p7_02,p7_06,p7_03,p7_07,P7,p8_03,p8_04,p8_05,P8,I
Волинська,1.0,0.0,0.22997008571615,0.8987824544166384,5.321881350331972,0.5999432988253494,0.16024661079338542,0.6370311688897048,0.07306576956574884,0.07214779683116784,0.20688894717266884,0.9868649733022428,0.8803531423540962,0.9955442345696458,0.9615961100008444,4.449881050478797,0.011340722374527322,0.0010594088747781672,0.06200065624652745,1.0,0.8779790276453765,0.5267746355749995,0.1004678453491194,0.4231578947368421,0.7353150239532404,6.106157378765963,0.018369899639152462,0.5511267333875864,0.5062232408291841,0.15,2.4514397477118455,0.8381031643061911,0.6202026836820869,1.0,0.9787234042553192,0.8014502334421353,0.5758906832646356,0.6041308089500861,0.2990768232558926,0.187683284457478,6.561401206237582,0.05102207875983445,0.39636586608589003,0.0037414916339468603,0.9499666444296198,0.0038523274478330658,2.8098968167142484,0.9166666666666664,0.4900003264219879,1.0,8.022223310295514,48.075933140559776
Вінницька,0.030567048118473182,0.0,0.28608535069255164,0.4654717800132018,1.9553104470605664,0.8743815519204732,0.4653360111847403,0.919763771857516,0.2675984549807892,0.3023047027253185,0.8976597467413152,0.9609886359866896,0.9074089614946044,0.0,0.9807470374644636,6.854249256363225,0.2926117148841557,0.07542539612489464,1.840185555045252,0.9444444444444444,0.7975291695264242,0.3185418310022694,0.3151078773007573,0.3604166666666671,0.7633007942115614,5.832234638586872,0.0035461766715683962,0.9571440948867496,0.12075572081706976,0.0,2.162891984750776,0.8553446596211397,0.6628571428571428,1.0,1.0,0.8713018927946556,0.5156265513913326,0.4609475032010243,0.5167719798606978,0.4189473684210526,7.001996775718941,0.2936277840573467,0.4269044352838711,0.003535900977289813,0.9873967840069536,0.1187800963081862,3.660490001267295,0.9166666666666664,0.4616631598514482,0.9213738997321088,7.665679087500745,48.03166190416341
Дніпропетровська,0.2500805412750037,0.0,0.1871030200686462,0.6076819221847153,2.6121637088209133,0.7178720864426398,1.0,0.08142064448492814,1.0,0.9999999999999998,0.5340990313702656,0.6037543490093892,0.8077618965545199,1.0,1.0,7.266737962830676,0.5798267554634126,0.3137322029799015,4.467794792216572,0.95,0.5400696864111498,0.9484572655701992,0.4049734778781184,0.37892857142857145,0.9309094497439904,6.92223075172005,0.040898456352722976,0.21779993745874013,0.19753135211964526,0.22,1.3524594918622166,0.7864986549019447,0.7600317388347313,0.9785714285714284,0.9785714285714284,0.9128712583972954,0.5857788248433712,0.7881828316610926,0.04410210729698677,0.3193277310924369,6.837706671300796,0.08912066165143849,0.09964269526480056,0.0015281572922643428,0.9055944055944056,0.81669341894061,3.8251586774870385,0.4999999999999999,0.710252943331332,1.0,7.367509811104438,51.45071790863458
Донецька,0.026206140557600528,0.0,0.1672776311591075,0.726443446789016,2.2998180462643103,0.2216489714854492,0.4373625741872741,0.2045852576128824,0.5048058969102417,0.2163127047226764,0.9386191225999752,0.9962272348919672,0.992716618657446,1.0,0.9951855865491972,6.421344111480094,0.010629498694916549,0.003849061313890269,0.07239280004403408,0.8928571428571429,0.4319880418535127,0.27628271784850394,0.568057159261807,0.545483870967742,0.5235500810232244,5.397031689686553,0.0017816081038687023,0.142499546126514,0.17748713186228338,0.17,0.9835365721853322,0.3313546690855456,0.8832413249211357,1.0,1.0,0.9678101918065868,0.5008094696754105,0.7533980582524271,0.059740351000243365,0.42892156862745096,6.583639592632,0.08501867024234362,0.9452542617422016,0.0033906544828324944,0.8970349309504468,0.8452648475120386,5.551926729859726,0.8333333333333333,0.7546471572124407,1.0,8.626601635152577,46.891595710082726
Житомирська,0.04889406034860865,0.0,0.21188987967068645,0.8144453919182537,2.6880733298438724,0.7669514296984036,0.2940744764359656,0.7521531594883049,0.0767925243656375,0.1585277256428946,0.8473064963264232,0.9956148544956336,0.9877693925795704,0.9961310643815092,0.9897659995684034,6.647566375837963,0.06398356690061148,0.06578276895638129,0.6488316792849638,0.75,0.29559748427672955,0.37778014586114905,0.1983362588123556,0.5046666666666667,0.5094575096646092,4.393063442135851,0.1879483064923596,0.7214199268667553,0.2661809205801676,0.01,2.371098307878565,0.8218357852984391,0.2783262212597924,1.0,1.0,0.955766654487882,0.5302006908315524,0.4944532488114105,0.6469667265434236,0.36666666666666653,6.771351104332408,0.008858405678576363,0.2791428441840686,0.0016734161116503232,0.9558823529411764,0.016372391653290533,2.523858821137525,1.0,0.5490826273892129,1.0,8.496942091297376,46.07488907647159
Закарпатська,0.8397852479183545,0.2652288785936254,0.12967150083527182,0.8560261216340233,5.226779372453186,0.34717383792751394,0.11513561900916057,0.2816857102117123,0.1201245642179884,0.02843640098834045,0.7098996309008315,0.9983227428591857,0.9482892128287682,0.999682344275678,0.9917210853716892,5.128564825441369,0.13618441213713176,0.026023002179788483,0.8110370715846011,1.0,0.929188255613126,0.4223847990569285,0.08426553381465456,0.4553846153846154,0.6808041116539223,5.9533788592054115,0.054536820282462976,0.5483910936220082,0.206273630491126,0.01,1.6384030887911942,0.797766940718373,0.2447475119793587,1.0,1.0,0.7715416119925246,0.7026742507161599,0.8022813688212928,0.060421036015687025,0.1414141414141414,6.1342742907305965,0.0024204345347472677,0.3096193025888006,0.0037553713622385603,0.861285645239246,0.15409309791332262,2.6623477032767098,0.2083333333333333,0.6042713184423073,0.7380405663987754,5.16881739391472,46.22329386127328
Запорізька,0.39101851201441495,0.0,0.1246423308353613,0.637656821023735,2.8832941596837784,0.6992005961421963,0.4258250775435685,0.2762258022927437,0.17299645356150584,0.3298535753148231,0.8698322021924761,0.9973084394887216,0.8850198525971202,0.9830061762743494,0.18654825907056605,5.986108714980251,0.022530680434962327,0.004056587284676463,0.13293633859819395,1.0,0.5873563218390805,0.3620377462543044,0.2158693656815523,0.3803448275862069,0.7627026233067471,5.513851474446485,0.005455547621731994,0.2692833253081037,0.06896631850831111,0.06,0.8074103828762936,0.7852212100573245,0.597770154373928,0.9833333333333332,0.9833333333333332,0.8496879853939014,0.5680381523612973,0.6936090225563909,0.12276293318764316,0.37850467289719625,6.6247342194381655,0.2326701007173537,0.8355165650195839,0.0053046981123237615,0.9100133511348464,0.17110754414125195,4.30922451825072,0.8749999999999999,0.5663561682326288,0.9947560275545352,8.120373985957212,45.7454157260556
Київська,0.05284226236009043,0.0,0.2429826119456985,0.5461315614452265,2.1048910893775385,0.8398279648787041,0.5752897176140932,0.27499504781766504,0.7260744908973855,0.33536404615713056,0.5759062365362273,0.9382583320600472,0.0,0.9766421197518312,0.0,5.388129641087972,0.0775771269002527,0.07278119315255747,0.751791600264051,0.0,0.8287243532560215,0.43485112631304623,0.3462831966874641,0.4023333333333334,0.7854361868588697,4.662713660747892,0.024414220482977228,0.6213545284434536,0.1262324120694147,0.43,2.4040023219916917,0.8561800873856514,0.3097808308799477,1.0,1.0,0.9606294501286424,0.579386023393605,0.6251851851851852,0.032863437956961984,0.3852631578947369,6.388097969805258,1.0,0.9857202793726996,0.005377414299211892,0.9227300060132292,0.01958266452648475,5.8668207284232485,0.4999999999999999,0.7872856831417983,1.0,7.6242856104726595,44.88381271707272
Івано-Франківська,0.4871180753251834,1.0,0.16009754807157647,0.8003660760361336,6.1189542485822335,0.6498691896952932,0.2850449896392207,0.9722266964473067,0.2740861089280926,0.2016564336688776,0.5914325222207591,0.9938980237970712,0.9617500443425656,0.8962722755655832,0.9822154042465356,6.257799566400537,0.2831023659082498,0.22417387921631973,2.5363812256228475,1.0,1.0,1.0,0.14410732814334476,0.4131666666666667,0.6979350751790842,7.0920151166484935,0.012700717990827205,0.11751059804747373,0.5505259644571807,0.0,1.361474560990963,0.8156571590024895,0.13274635963427026,1.0,1.0,0.7275262133666386,0.6622564270732693,0.6840390879478828,0.3367727497162448,0.16568047337278108,6.13853163345953,0.02317309211897357,0.36639397335823065,0.0043980231910985025,0.8803724928366762,0.07479935794542536,2.6982738789008085,0.7916666666666665,0.2386240525489153,0.0,3.434302397385272,51.16767626492893
Кіровоградська,0.0,0.0,0.1796135573601386,0.8806169042775284,2.650576154094168,0.4756122479194108,0.10576793931255153,0.1568293338898048,0.0014543189764071038,0.16377414195537593,0.6701434205243442,0.9911246951203267,0.8975013862798334,0.99902792634865,0.9997302521087248,5.00841169577537,0.03600339189505708,0.008193663088160129,0.22098527491608605,0.9166666666666666,0.6833527357392316,0.2044555585692218,0.20441461818342296,0.2689545454545453,0.7557778025084027,5.056036545202486,0.0024416375681227853,0.2653675599168741,0.3826954779143669,0.0,1.3010093507987277,0.7516099237322489,0.2831578947368421,1.0,1.0,0.929813089204948,0.4638407286126705,0.5212765957446808,0.2351317552320387,0.3661417322834646,6.167746355052104,0.01374084894967638,0.7845160684908075,0.007317345053825084,0.932395332875772,0.1438202247191011,3.763579640178365,0.0,0.6535565818606159,1.0,5.51185527286872,40.640514219915275
