region,p1_02_raw,p1_01_raw,p1_03_raw,p1_04_raw,p2_04_raw,p2_05_raw,p2_02_raw,p2_01_raw,p2_03_raw,p2_06_raw,p2_07_raw,p2_08_raw,p2_09_raw,p2_10_raw,p3_01_raw,p3_02_raw,p4_02_raw,p4_03_raw,p4_05_raw,p4_06_raw,p4_07_raw,p4_08_raw,p5_01_raw,p5_02_raw,p5_03_raw,p6_01_raw,p6_02_raw,p6_03_raw,p6_04_raw,p6_09_raw,p6_05_raw,p6_06_raw,p6_07_raw,p6_08_raw,p7_01_raw,p7_02_raw,p7_06_raw,p7_03_raw,p8_03_raw,p8_04_raw
Вінницька,0.0,0.768086928824016,0.28608535069255164,0.4654717800132018,489724780.38,156775257.17,2273348018.909999,944.6725726464572,1.0068583731919891,0.8653609329028441,9150.0,14663.61,118807.87,164.16,26709320.55,5314266.28,0.9574468085106383,0.7975291695264242,0.006458945118192912,0.3151078773007573,0.3604166666666671,0.7633007942115614,157.8,0.9571440948867496,0.012126705276656687,0.8553446596211397,1.5086206896551724,1.0,1.0,0.8713018927946556,10.312531027826653,0.5390524967989757,0.014257649720204787,0.4189473684210526,0.007119667369140514,0.011984475253063865,0.003535900977289813,0.2781399391568883,3.0,0.2472512369433755
Волинська,0.0,25.12793927130383,0.22997008571615,0.8987824544166384,242483667.58,59384915.31,1103495220.53,707.1326610509877,0.8676399060944108,0.19944484865513445,3127.77,17900.48,529.38,327.45,1069804.0,74643.04000000001,1.0,0.8779790276453765,0.010681198290753698,0.1004678453491194,0.4231578947368421,0.7353150239532404,598.0,0.5511267333875864,0.05083668089753763,0.8381031643061911,1.6123761252742266,1.0,1.0217391304347827,0.8014502334421353,11.517813665292712,0.3958691910499139,0.009846316683727116,0.187683284457478,0.0012371452872496716,0.0111271669269655,0.0037414916339468603,0.22348232154769845,3.0,0.23423633815973846
Дніпропетровська,0.0,6.284008654093082,0.1871030200686462,0.6076819221847153,1420569757.0,452003346.2500001,4323495164.98,809.2058723079567,0.5940554496186893,0.5148815436215282,92289.55,26585.06,0.0,0.0,52890672.28,22104709.46,0.7424242424242424,0.5400696864111498,0.019231488078015068,0.4049734778781184,0.37892857142857145,0.9309094497439904,1267.0,0.21779993745874013,0.019836778529798843,0.7864986549019447,1.3157345264727816,1.0218978102189782,1.0218978102189782,0.9128712583972954,11.715576496867422,0.21181716833890746,0.004679557783261967,0.3193277310924369,0.0021609312916792533,0.002797266359520307,0.0015281572922643428,0.22144522144522144,13.0,0.13307712350182388
Донецька,0.0,0.6585063084666383,0.1672776311591075,0.726443446789016,791203330.28,120387949.78,2166085021.54,379.70016918827037,0.6547021117310605,0.9048465440521012,948.88,4457.68,0.0,41.05,1004971.75,271194.29,0.5617977528089888,0.4336810730253353,0.005602074007278344,0.568057159261807,0.545483870967742,0.5235500810232244,105.4,0.142499546126514,0.017823868914281404,0.3313546690855456,1.132193401491138,1.0,1.0,0.9678101918065868,10.016189393508212,0.24660194174757286,0.00499644816408885,0.42892156862745096,0.0020614692653673165,0.0265360941967486,0.0033906544828324944,0.15190901705930138,5.0,0.1126874279123414
Житомирська,0.0,1.2286069791673024,0.21188987967068645,0.8144453919182537,247220182.69,95936374.69,1616652684.94,851.6864766940256,0.9243263543219028,0.8168194494377528,1091.4,5049.55,459.66,87.26,5868511.010000002,4634873.25,0.29577464788732394,0.2971105527638191,0.007660096701216899,0.1983362588123556,0.5046666666666667,0.5094575096646092,5633.74,1.3279810456363703,0.026730804572271373,0.8218357852984391,3.5929061784897023,1.0,1.0,0.955766654487882,10.604013816631047,0.5055467511885895,0.016895891177546758,0.36666666666666653,0.00021479200973723776,0.00783636859141394,0.0016734161116503232,0.2052139037433155,1.0,0.2071005917159763
Закарпатська,232957.09236934566,21.10207271062924,0.12967150083527182,0.8560261216340233,302292993.36,40888543.16,930518971.9,488.3481631956736,0.6926666291254716,0.6843566385747281,461.19,9772.83,37.74,70.59,12450045.6,1833509.27,1.0,0.929188255613126,0.008564527388078603,0.08426553381465456,0.4553846153846154,0.6808041116539223,1672.0,0.5483910936220082,0.020714708225718068,0.797766940718373,4.085843373493976,1.0,1.0,0.7715416119925246,14.053485014323197,0.1977186311787072,0.005010241435114686,0.1414141414141414,5.868889019308645e-05,0.008691933283098792,0.0037553713622385603,0.17931367810536492,20.0,0.18175313059033987
Запорізька,0.0,9.825489423853806,0.1246423308353613,0.637656821023735,369490465.75,168432496.43,2121844963.65,793.044771931816,0.6899781524411633,0.838534654907649,697.25,17342.17,2019.0,6935.88,2089834.94,285816.0,0.8734177215189873,0.5873563218390805,0.0073408943698642344,0.2158693656815523,0.3803448275862069,0.7627026233067471,214.5,0.2692833253081037,0.006925835172921265,0.7852212100573245,1.6728837876614058,1.0169491525423728,1.0169491525423728,0.8496879853939014,11.360763047225944,0.30639097744360905,0.006273525721455458,0.37850467289719625,0.0056416109571172345,0.023455431167736195,0.0053046981123237615,0.19225634178905207,4.0,0.1991670749632533
Івано-Франківська,878324.764650815,12.240273414725614,0.16009754807157647,0.8003660760361336,497970257.37,114186183.89,1582029487.99,750.3459943593764,1.032691290457912,0.5701521105697166,1490.96,8162.42,12323.67,151.64,25842487.08,15794675.91,1.0,1.0,0.020276599459073542,0.14410732814334476,0.4131666666666667,0.6979350751790842,429.65,0.11751059804747373,0.055285712949640166,0.8156571590024895,7.533163265306122,1.0,1.0,0.7275262133666386,13.245128541465386,0.31596091205211724,0.010610179731158437,0.16568047337278108,0.0005618838432854881,0.010285766892217049,0.0043980231910985025,0.1497134670487106,6.0,0.34969025105966745
Київська,0.0,1.3278171595426564,0.2429826119456985,0.5461315614452265,1072424418.08,170764238.93,2694960998.56,914.7647302861459,0.6893721248744966,0.5551844782198676,14440.05,123223.06,2775.1,8526.48,7107644.5,5127963.0,0.9636363636363636,0.8277087033747779,0.008817302112576635,0.3462831966874641,0.4023333333333334,0.7854361868588697,777.4899999999999,0.6213545284434536,0.012676693469837538,0.8561800873856514,3.2280887011615627,1.0,1.0,0.9606294501286424,11.5877204678721,0.3748148148148148,0.004451819536261364,0.3852631578947369,0.024247253685468723,0.02767209548134587,0.005377414299211892,0.1761876127480457,13.0,0.09769696969696967
Кіровоградська,0.0,0.0,0.1796135573601386,0.8806169042775284,151469169.45,98156383.15,894598988.1400002,599.5179735659608,0.6311869372313136,0.6460309016516118,2136.4,15848.92,115.49,2.3,3317952.37,577303.0,0.8787878787878788,0.6879659211927582,0.0041456634682892615,0.20441461818342296,0.2689545454545453,0.7557778025084027,125.0,0.2653675599168741,0.038431597608589566,0.7516099237322489,3.5315985130111525,1.0,1.0,0.929813089204948,9.276814572253409,0.4787234042553192,0.008550546049722977,0.3661417322834646,0.00033317785033650963,0.022023695776801067,0.007317345053825084,0.2515442690459849,25.0,0.15911703839963212
