region,p1_01,p1_02,p1_03,p1_04,P1,p2_01,p2_02,p2_03,p2_04,p2_05,p2_06,p2_07,p2_08,p2_09,p2_10,P2,p3_01,p3_02,P3,p4_02,p4_03,p4_05,p4_06,p4_07,p4_08,P4,p5_01,p5_02,p5_03,p5_07,P5,p6_01,p6_02,p6_03,p6_04,p6_09,p6_05,p6_06,p6_07,p6_08,P6,p7_01,p7_02,p7_06,p7_03,p7_07,P7,p8_03,p8_04,p8_05,P8,I
Волинська,1.0,0.0,0.22997008571615,0.8987824544166384,5.321881350331972,0.5999432988253494,0.16024661079338542,0.6370311688897048,0.07306576956574884,0.07214779683116784,0.20688894717266884,0.9868649733022428,0.8803531423540962,0.9955442345696458,0.9615961100008444,4.449881050478797,0.011340722374527322,0.0010594088747781672,0.06200065624652745,1.0,0.8779790276453765,0.5267746355749995,0.12862847438941727,0.6338962243163057,0.7101050208308041,6.4623056379281705,0.018369899639152462,0.5511267333875864,0.5062232408291841,0.17647058823529413,2.5043809241824344,0.8381031643061911,0.019275482195356013,0.0,0.31884057971014634,0.27299584495606943,0.5758906832646356,0.6041308089500861,0.2990768232558926,0.187683284457478,3.462218523439839,0.05102207875983445,0.3653453946174744,0.0037414916339468603,0.5291933743975424,0.0038523274478330658,1.9063093337132624,0.9166666666666664,0.6223920197132984,1.0,8.463528954599884,41.603722549748284
Вінницька,0.030567048118473182,0.0,0.28608535069255164,0.4654717800132018,1.9553104470605664,0.8743815519204732,0.4653360111847403,0.919763771857516,0.2675984549807892,0.3023047027253185,0.8976597467413152,0.9609886359866896,0.9074089614946044,0.0,0.9807470374644636,6.854249256363225,0.2926117148841557,0.07542539612489464,1.840185555045252,0.9574468085106383,0.7975291695264242,0.3185418310022694,0.4805155664623864,0.4596741846903837,0.7515833720326384,6.275484887041234,0.0035461766715683962,0.9571440948867496,0.12075572081706976,0.0,2.162891984750776,0.8553446596211397,0.015968315020674972,0.0,0.0,0.5309527681192026,0.5156265513913326,0.4609475032010243,0.5167719798606978,0.4189473684210526,3.6828434951501374,0.2936277840573467,0.39745332638338976,0.003535900977289813,0.8465536185584542,0.1187800963081862,3.3199014525693333,0.9166666666666664,0.5863985205587662,0.9213738997321088,8.081463623191805,41.70390931062773
Дніпропетровська,0.2500805412750037,0.0,0.1871030200686462,0.6076819221847153,2.6121637088209133,0.7178720864426398,1.0,0.08142064448492814,1.0,0.9999999999999998,0.5340990313702656,0.6037543490093892,0.8077618965545199,1.0,1.0,7.266737962830676,0.5798267554634126,0.3137322029799015,4.467794792216572,0.7424242424242424,0.5400696864111498,0.9484572655701992,0.6278438377872975,0.5110786902154031,1.0,7.2831228706804865,0.040898456352722976,0.21779993745874013,0.19753135211964526,0.25882352941176473,1.4301065506857462,0.7864986549019447,0.0098201379779888,0.3339416058394171,0.32116788321168066,0.6844653080945817,0.5857788248433712,0.7881828316610926,0.04410210729698677,0.3193277310924369,4.303650094355001,0.08912066165143849,0.05337376096544929,0.0015281572922643428,0.5173652960036971,0.81669341894061,2.9561625897069184,0.4999999999999999,0.9021540192334581,1.0,8.007180064111527,46.27198297125038
Донецька,0.026206140557600528,0.0,0.1672776311591075,0.726443446789016,2.2998180462643103,0.2216489714854492,0.4373625741872741,0.2045852576128824,0.5048058969102417,0.2163127047226764,0.9386191225999752,0.9962272348919672,0.992716618657446,1.0,0.9951855865491972,6.421344111480094,0.010629498694916549,0.003849061313890269,0.07239280004403408,0.5617977528089888,0.4336810730253353,0.27628271784850394,0.8952079538138505,0.9735752795994193,0.3962433477730116,5.8946468747818495,0.0017816081038687023,0.142499546126514,0.17748713186228338,0.2,1.043536572185332,0.3313546690855456,0.003969830665204038,0.0,0.0,0.8873506562092754,0.5008094696754105,0.7533980582524271,0.059740351000243365,0.42892156862745096,3.295049559461729,0.08501867024234362,0.9424409042525721,0.0033906544828324944,0.11361504549463965,0.8452648475120386,3.9794602439688527,0.8333333333333333,0.9585429703241801,1.0,9.306254345525042,39.63939069813284
Житомирська,0.04889406034860865,0.0,0.21188987967068645,0.8144453919182537,2.6880733298438724,0.7669514296984036,0.2940744764359656,0.7521531594883049,0.0767925243656375,0.1585277256428946,0.8473064963264232,0.9956148544956336,0.9877693925795704,0.9961310643815092,0.9897659995684034,6.647566375837963,0.06398356690061148,0.06578276895638129,0.6488316792849638,0.29577464788732394,0.2971105527638191,0.37778014586114905,0.2890767892085877,0.8602326370676622,0.3753564249277933,4.158885329527226,0.1879483064923596,1.3279810456363703,0.2661809205801676,0.011764705882352941,3.5877499571825013,0.8218357852984391,0.0824041649615497,0.0,0.0,0.8428747789068511,0.5302006908315524,0.4944532488114105,0.6469667265434236,0.36666666666666653,4.206002291133213,0.008858405678576363,0.2420983372908037,0.0016734161116503232,0.4231208855399648,0.016372391653290533,1.3842468725485713,1.0,0.6974375873291696,1.0,8.991458624430566,41.03431130474617
Закарпатська,0.8397852479183545,0.2652288785936254,0.12967150083527182,0.8560261216340233,5.226779372453186,0.34717383792751394,0.11513561900916057,0.2816857102117123,0.1201245642179884,0.02843640098834045,0.7098996309008315,0.9983227428591857,0.9482892128287682,0.999682344275678,0.9917210853716892,5.128564825441369,0.13618441213713176,0.026023002179788483,0.8110370715846011,1.0,0.929188255613126,0.4223847990569285,0.1020659350584141,0.7233845109566314,0.6293131489683081,6.343894416089015,0.054536820282462976,0.5483910936220082,0.206273630491126,0.011764705882352941,1.6419325005559002,0.797766940718373,0.09811636067226864,0.0,0.0,0.1625455559191762,0.7026742507161599,0.8022813688212928,0.060421036015687025,0.1414141414141414,3.07246628253011,0.0024204345347472677,0.274140966419302,0.0037553713622385603,0.2727355908303636,0.15409309791332262,1.4142909221199478,0.2083333333333333,0.7675375424469286,0.7380405663987754,5.713038140596791,39.517776405704886
Запорізька,0.39101851201441495,0.0,0.1246423308353613,0.637656821023735,2.8832941596837784,0.6992005961421963,0.4258250775435685,0.2762258022927437,0.17299645356150584,0.3298535753148231,0.8698322021924761,0.9973084394887216,0.8850198525971202,0.9830061762743494,0.18654825907056605,5.986108714980251,0.022530680434962327,0.004056587284676463,0.13293633859819395,0.8734177215189873,0.5873563218390805,0.3620377462543044,0.3178210729990241,0.5150113999185036,0.7506968092316295,5.677235119602551,0.005455547621731994,0.2692833253081037,0.06896631850831111,0.07058823529411765,0.8285868534645289,0.7852212100573245,0.021204142160683292,0.2584745762711851,0.2485875706214689,0.4511342340670082,0.5680381523612973,0.6936090225563909,0.12276293318764316,0.37850467289719625,3.919485015755775,0.2326701007173537,0.8270638394111892,0.0053046981123237615,0.34788498603665785,0.17110754414125195,3.1680623368375525,0.8749999999999999,0.7193782134745389,0.9947560275545352,8.630447470096913,39.633351995091786
Київська,0.05284226236009043,0.0,0.2429826119456985,0.5461315614452265,2.1048910893775385,0.8398279648787041,0.5752897176140932,0.27499504781766504,0.7260744908973855,0.33536404615713056,0.5759062365362273,0.9382583320600472,0.0,0.9766421197518312,0.0,5.388129641087972,0.0775771269002527,0.07278119315255747,0.751791600264051,0.9636363636363636,0.8277087033747779,0.43485112631304623,0.5316252890229293,0.5760698528277438,0.7843907445559146,6.863803466217959,0.024414220482977228,0.6213545284434536,0.1262324120694147,0.5058823529411764,2.555767027874044,0.8561800873856514,0.07077573914876273,0.0,0.0,0.8608327173880412,0.579386023393605,0.6251851851851852,0.032863437956961984,0.3852631578947369,3.7894292759477164,1.0,0.9849864513112814,0.005377414299211892,0.2545846192282829,0.01958266452648475,4.529062298730521,0.4999999999999999,0.9999999999999998,1.0,8.333333333333332,41.05609527244767
Івано-Франківська,0.4871180753251834,1.0,0.16009754807157647,0.8003660760361336,6.1189542485822335,0.6498691896952932,0.2850449896392207,0.9722266964473067,0.2740861089280926,0.2016564336688776,0.5914325222207591,0.9938980237970712,0.9617500443425656,0.8962722755655832,0.9822154042465356,6.257799566400537,0.2831023659082498,0.22417387921631973,2.5363812256228475,1.0,1.0,1.0,0.20017230785049472,0.606152232266823,0.6547033424474822,7.435046470941333,0.012700717990827205,0.11751059804747373,0.5505259644571807,0.0,1.361474560990963,0.8156571590024895,0.2079984417295467,0.0,0.0,0.0,0.6622564270732693,0.6840390879478828,0.3367727497162448,0.16568047337278108,3.1915603764913487,0.02317309211897357,0.3338332605565689,0.0043980231910985025,0.10086695441590544,0.07479935794542536,1.0741413764559435,0.7916666666666665,0.30309715730717346,0.0,3.6492127465794666,44.10008777743763
Кіровоградська,0.0,0.0,0.1796135573601386,0.8806169042775284,2.650576154094168,0.4756122479194108,0.10576793931255153,0.1568293338898048,0.0014543189764071038,0.16377414195537593,0.6701434205243442,0.9911246951203267,0.8975013862798334,0.99902792634865,0.9997302521087248,5.00841169577537,0.03600339189505708,0.008193663088160129,0.22098527491608605,0.8787878787878788,0.6879659211927582,0.2044555585692218,0.2990418278093148,0.20569896303443516,0.7404333736916306,5.027305871808734,0.0024416375681227853,0.2653675599168741,0.3826954779143669,0.0,1.3010093507987277,0.7516099237322489,0.08045000518556059,0.0,0.0,0.7470302147611085,0.4638407286126705,0.5212765957446808,0.2351317552320387,0.3661417322834646,3.517201061724192,0.01374084894967638,0.7734424515865751,0.007317345053825084,0.6921303427331239,0.1438202247191011,3.260902426084603,0.0,0.8301390408275766,1.0,6.100463469425256,35.10231984405019
