region,p1_01,p1_02,p1_03,p1_04,P1
Волинська,1.0,0.0,0.22997008571615002,0.8987824544166384,5.321881350331971
Вінницька,0.03056704811847318,0.0,0.28608535069255164,0.46547178001320183,1.9553104470605664
Дніпропетровська,0.2500805412750037,0.0,0.1871030200686462,0.6076819221847153,2.612163708820913
Донецька,0.026206140557600528,0.0,0.1672776311591075,0.726443446789016,2.29981804626431
Житомирська,0.048894060348608645,0.0,0.21188987967068643,0.8144453919182537,2.688073329843872
Закарпатська,0.8397852479183545,0.2652288785936254,0.12967150083527182,0.8560261216340233,5.226779372453187
Запорізька,0.391018512014415,0.0,0.1246423308353613,0.637656821023735,2.883294159683778
Київська,0.05284226236009043,0.0,0.2429826119456985,0.5461315614452265,2.1048910893775385
Івано-Франківська,0.4871180753251834,1.0,0.16009754807157647,0.8003660760361336,6.1189542485822335
Кіровоградська,0.0,0.0,0.1796135573601386,0.8806169042775284,2.6505761540941677
Луганська,0.033150139630885325,0.0,0.22296019079130186,0.8614223645129643,2.7938317373378787
Львівська,0.9537178412799759,0.04086290891709856,0.27291147074160677,0.7737374995826295,5.103074301303277
Миколаївська,0.5948171281636462,0.0,0.07215628422338828,0.7573871788543013,3.5609014781033395
Одеська,0.3909113264980932,0.8518982790813805,0.16765102234560528,0.5655514033506129,4.94003007818923
Полтавська,0.03578837491469733,0.0,0.11411647495817938,0.6129721603390099,1.9071925255297169
Рівненська,0.08935892506970262,0.0,0.15045380433538866,0.8121416035384629,2.629885832358885
Сумська,0.02270378184607845,0.0,0.08768972072662634,0.766433059827712,2.192066406001042
Тернопільська,0.06466541642870671,0.0,0.24950035600974269,0.6090198387084779,2.307964027867318
Харківська,0.009192337315476988,0.0,0.18822752979379487,0.8078461664023003,2.5131650837789303
Херсонська,0.6426887080357891,0.0,0.1824231784559182,0.7615067173222585,3.9665465095349144
Хмельницька,0.0,0.0,0.22640535639649548,0.8490597383710187,2.6886627369187854
Черкаська,0.020674573880751095,0.0,0.07232408452919831,0.7717425255683535,2.161852959945757
Чернівецька,0.3060662267319664,0.9876383285234561,0.24004430892806317,0.7276465799137535,5.653488610243098
Чернігівська,0.0,0.0,0.1174772233587332,0.7588019881750795,2.190698028834532
