region,p2_01,p2_02,p2_03,p2_04,p2_05,p2_06,p2_07,p2_08,p2_09,p2_10,P2
Волинська,0.5999432988253494,0.16024661079338542,0.6370311688897048,0.07306576956574884,0.07214779683116784,0.20688894717266884,0.9868649733022428,0.8803531423540962,0.9955442345696458,0.9615961100008444,4.449881050478797
Вінницька,0.8743815519204732,0.46533601118474033,0.919763771857516,0.26759845498078916,0.3023047027253185,0.8976597467413152,0.9609886359866895,0.9074089614946044,0.0,0.9807470374644637,6.854249256363225
Дніпропетровська,0.7178720864426398,1.0,0.08142064448492814,1.0,0.9999999999999998,0.5340990313702656,0.6037543490093892,0.8077618965545199,0.9999999999999999,1.0,7.2667379628306765
Донецька,0.22164897148544918,0.4373625741872741,0.20458525761288238,0.5048058969102417,0.21631270472267636,0.9386191225999753,0.9962272348919672,0.9927166186574459,0.9999999999999999,0.9951855865491973,6.421344111480094
Житомирська,0.7669514296984036,0.2940744764359656,0.7521531594883049,0.0767925243656375,0.1585277256428946,0.8473064963264232,0.9956148544956335,0.9877693925795705,0.9961310643815093,0.9897659995684034,6.647566375837962
Закарпатська,0.347173837927514,0.11513561900916058,0.2816857102117123,0.1201245642179884,0.02843640098834045,0.7098996309008315,0.9983227428591857,0.9482892128287682,0.9996823442756779,0.9917210853716891,5.128564825441369
Запорізька,0.6992005961421963,0.42582507754356846,0.27622580229274374,0.17299645356150586,0.32985357531482307,0.8698322021924761,0.9973084394887216,0.8850198525971202,0.9830061762743494,0.18654825907056605,5.986108714980251
Київська,0.8398279648787041,0.5752897176140932,0.27499504781766504,0.7260744908973855,0.33536404615713056,0.5759062365362273,0.9382583320600473,0.0,0.9766421197518311,0.0,5.388129641087971
Івано-Франківська,0.6498691896952932,0.2850449896392207,0.9722266964473067,0.2740861089280926,0.20165643366887756,0.5914325222207591,0.9938980237970713,0.9617500443425657,0.8962722755655832,0.9822154042465355,6.257799566400536
Кіровоградська,0.4756122479194108,0.10576793931255152,0.1568293338898048,0.001454318976407104,0.16377414195537593,0.6701434205243442,0.9911246951203267,0.8975013862798334,0.99902792634865,0.9997302521087248,5.00841169577537
Луганська,0.0,0.013674066084474995,0.19621860953504688,0.04971267666910176,0.001341437840769219,0.5903731428130091,1.0,0.9911619123021908,0.9993542515323268,1.0,4.23095224955849
Львівська,0.501859198939669,0.5160779502387175,0.10271203596155964,0.6077631436422419,0.19434627176403926,0.4272922231180173,0.008724744894495373,0.9214497151961847,0.9962547935587094,0.9765295878252221,4.805338434262904
Миколаївська,0.5710780477615556,0.16604480916930847,0.24384268903004447,0.03100364670458247,0.12086562657723315,0.33675954465636787,0.9936881679273201,0.942404816446854,0.9999999999999999,0.8830947823720926,4.361726035100061
Одеська,0.5305114249107388,0.5221489373389134,0.07563757039499297,0.7499127180464159,0.43200637223156524,0.7006536004860163,0.9088212339078273,0.5184334678460814,0.9997121402816159,0.9328925887353281,6.16176316836945
Полтавська,0.7763094857643941,0.3770999643577966,0.19411255479898393,0.24564404811018706,0.27907331568752103,0.8591617112607638,0.9968247053810929,0.9088283415278617,0.9922055668534415,0.5276726151940778,6.161100664968588
Рівненська,0.48261665031369105,0.13413674119157937,0.34834094696520146,0.05690247353731731,0.06470885343193944,0.4547668519650973,0.9939248358492262,0.9978402119616432,0.9980444056441714,0.9996751297135512,4.717050659832841
Сумська,1.0,0.3115430410649598,0.9999999999999998,0.06872375313924617,0.2775139795283723,0.38620560136473486,0.9652798104044168,0.9841572914808612,0.9547353218267441,0.9340489862170556,6.022183158350089
Тернопільська,0.540218764358822,0.14619638224414938,0.7742934689488488,0.03721914040559357,0.05445042804573133,0.9999999999999999,0.9698864131472554,1.0,0.9824568018936791,1.0,6.5225926934037295
Харківська,0.5709361940054972,0.6708990532439472,0.13591332748460072,0.6586022588964063,0.46217925286369,0.4910495408847491,0.0,0.9119293956020533,0.991780089988988,0.9940831386457248,5.537274328853993
Херсонська,0.40681389483708785,0.09917795343367972,0.2825510115341401,0.09048104490191108,0.07303012283724275,0.7345397153693038,0.9930565808205485,0.9314113707879369,0.9893869825290192,0.9998064852084331,5.234441703058533
Хмельницька,0.5264746296241901,0.1809087237057151,0.25226511137859275,0.0,0.1392803712181281,0.7498333343533324,0.9796199615040805,0.9912928921333028,0.8829798059673992,0.9943951079460692,5.378692026529239
Черкаська,0.4868571308213976,0.17626864724614977,0.1937752601051419,0.07810562446018907,0.15931877531845187,0.769215515408504,0.9504294139211956,0.8315752334943263,0.9980656163602629,1.0,5.379908141332455
Чернівецька,0.19052303997871653,0.0,0.0,0.010192480557283196,0.0,0.3531420660922804,0.9995744446081049,0.9534292726465131,0.9889283428782958,0.9984460175828712,3.5463069843390667
Чернігівська,0.558846863535632,0.148487906521929,0.295686571020934,0.07858056117476239,0.17475554731724072,0.6154483048536555,0.9934150631140239,0.8964731904262855,0.9939602485929593,0.995502247117216,5.21957242998619
