region,p4_02,p4_03,p4_05,p4_06,p4_07,p4_08,P4
Волинська,1.0,0.8779790276453765,0.5267746355749995,0.12862847438941727,0.6338962243163057,0.710105020830804,6.4623056379281705
Вінницька,0.9574468085106383,0.7975291695264242,0.3185418310022694,0.48051556646238636,0.4596741846903837,0.7515833720326384,6.275484887041234
Дніпропетровська,0.7424242424242424,0.5400696864111498,0.9484572655701992,0.6278438377872975,0.5110786902154031,1.0,7.2831228706804865
Донецька,0.5617977528089888,0.4336810730253353,0.276282717848504,0.8952079538138505,0.9735752795994191,0.3962433477730116,5.8946468747818495
Житомирська,0.29577464788732394,0.2971105527638191,0.37778014586114905,0.2890767892085877,0.8602326370676622,0.3753564249277933,4.158885329527226
Закарпатська,1.0,0.9291882556131261,0.42238479905692844,0.1020659350584141,0.7233845109566314,0.6293131489683081,6.3438944160890145
Запорізька,0.8734177215189873,0.5873563218390805,0.3620377462543044,0.31782107299902407,0.5150113999185036,0.7506968092316295,5.67723511960255
Київська,0.9636363636363636,0.827708703374778,0.43485112631304623,0.5316252890229293,0.5760698528277438,0.7843907445559146,6.863803466217959
Івано-Франківська,1.0,1.0,1.0,0.20017230785049472,0.606152232266823,0.6547033424474822,7.435046470941332
Кіровоградська,0.8787878787878788,0.6879659211927582,0.2044555585692218,0.29904182780931476,0.20569896303443513,0.7404333736916306,5.027305871808733
Луганська,1.0,0.7069306930693069,0.6535707347397858,0.3381710521484104,0.9291907068587827,0.427456482669495,6.758866115809635
Львівська,0.8309859154929577,0.5470177324019344,0.3412051384854927,0.9999999999999998,0.6563388972879577,0.8664781068406873,7.070042984181716
Миколаївська,0.9615384615384616,0.7548022598870057,0.13317673553379955,0.16152177536405624,0.719539662460276,0.9990063438282644,6.21597539768644
Одеська,0.9423076923076923,0.6699288256227758,0.41038196426717816,0.21968862682347381,0.4068105868697195,0.9405597803333223,5.982795793706936
Полтавська,0.9545454545454546,0.5524266027561414,0.11346473587585672,0.6705124656967921,0.5885235371829428,0.12308082560301481,5.004256036100338
Рівненська,0.9629629629629629,0.7807807807807807,0.643112266803881,0.3801429400556409,0.6604688082889926,0.0,5.712446264820431
Сумська,0.9714285714285714,0.5003441156228493,0.059658406601972386,0.1294587172341591,0.14675432863702287,0.2860398247033583,3.4894732737132217
Тернопільська,0.9428571428571428,0.7371031746031746,0.02522369771678075,0.1289996533452519,0.6465846331632638,0.4440405518140266,4.8746814224994015
Харківська,1.0,0.5029904306220095,0.5114694200395016,0.6285380203669467,0.44833544167103734,0.801661950016963,6.488325437860763
Херсонська,0.8,0.5272727272727272,0.3445804188231996,0.3532829382617117,0.7877263891888561,0.6429201039387062,5.759637629142001
Хмельницька,0.6944444444444444,0.271830985915493,0.13416465754826948,0.23496267124444029,0.7695226929128999,0.606660636012478,4.519310146796709
Черкаська,1.0,0.8525402726146221,0.38993064938108607,0.7365506387475962,0.0,0.5578171653953455,5.894731210231083
Чернівецька,0.9,0.8790931989924433,0.0,0.1675881511460345,1.0,0.8701220801882388,6.361339050544528
Чернігівська,0.9230769230769231,0.5336963921034718,0.012889572999990677,0.0,0.7057711887939283,0.3448760706991444,4.200516912789097
