region,p6_01,p6_02,p6_03,p6_04,p6_09,p6_05,p6_06,p6_07,p6_08,P6
Волинська,0.8381031643061911,0.019275482195356013,0.0,0.31884057971014634,0.27299584495606943,0.5758906832646356,0.6041308089500861,0.2990768232558926,0.187683284457478,3.462218523439839
Вінницька,0.8553446596211397,0.015968315020674972,0.0,0.0,0.5309527681192026,0.5156265513913326,0.4609475032010243,0.5167719798606978,0.4189473684210526,3.6828434951501383
Дніпропетровська,0.7864986549019447,0.0098201379779888,0.3339416058394171,0.32116788321168066,0.6844653080945817,0.5857788248433712,0.7881828316610926,0.04410210729698677,0.31932773109243695,4.303650094355001
Донецька,0.33135466908554556,0.003969830665204038,0.0,0.0,0.8873506562092754,0.5008094696754105,0.7533980582524271,0.05974035100024336,0.42892156862745096,3.2950495594617295
Житомирська,0.821835785298439,0.0824041649615497,0.0,0.0,0.8428747789068511,0.5302006908315524,0.4944532488114105,0.6469667265434236,0.36666666666666664,4.206002291133214
Закарпатська,0.797766940718373,0.09811636067226864,0.0,0.0,0.1625455559191762,0.7026742507161599,0.8022813688212928,0.06042103601568702,0.1414141414141414,3.07246628253011
Запорізька,0.7852212100573245,0.02120414216068329,0.2584745762711851,0.24858757062146886,0.45113423406700814,0.5680381523612973,0.6936090225563909,0.12276293318764317,0.37850467289719625,3.919485015755775
Київська,0.8561800873856514,0.07077573914876273,0.0,0.0,0.8608327173880412,0.579386023393605,0.6251851851851852,0.03286343795696198,0.38526315789473686,3.789429275947716
Івано-Франківська,0.8156571590024895,0.2079984417295467,0.0,0.0,0.0,0.6622564270732693,0.6840390879478828,0.3367727497162448,0.16568047337278108,3.1915603764913487
Кіровоградська,0.7516099237322489,0.08045000518556059,0.0,0.0,0.7470302147611085,0.46384072861267045,0.5212765957446808,0.2351317552320387,0.3661417322834646,3.5172010617241916
Луганська,0.22563723617073883,0.9999999999999999,0.0,0.0,0.2496096196441182,0.4934662662522897,0.4965277777777778,0.7375955662150879,0.5,4.11426274006668
Львівська,0.841910720274517,0.08586772117927213,0.31770833333333215,0.0,0.06062826124683429,0.59132420804492,0.6026119402985075,0.2865517357525207,0.15077989601386482,3.2637586846041877
Миколаївська,0.7386337509290302,0.01543612181288593,0.0,0.0,0.9156953292995684,0.5560913230048544,0.5958762886597938,0.5667240276616702,0.4957983193277311,4.315839067439482
Одеська,0.6937243602100899,0.017242630649285273,0.0,0.0,0.834217901349616,0.6529610037800082,0.7249322493224932,0.12502192446594415,0.34306569343065696,3.767961959120105
Полтавська,0.8235792689188545,0.005588482157138898,0.0,0.0,0.7425297420326391,0.5352345309836528,0.5092436974789916,0.6831627708251002,0.4583333333333333,4.175190917477456
Рівненська,0.8221784122418924,0.02516241668412096,0.25,0.0,0.12603994692565035,0.660682121123945,0.7015706806282722,0.2618251945978163,0.1912568306010929,3.3763506697808774
Сумська,0.8284404888416578,0.0037297459388402412,0.0,1.0,0.9488519476279502,0.5244126992293386,0.4486607142857143,1.0,0.48606811145510836,5.822404119309567
Тернопільська,0.8117826413551503,0.03578711542748387,1.0,0.2404371584699465,1.0,0.5429613321959694,0.4612903225806452,0.8982031681146361,0.2013888888888889,5.7687229189252465
Харківська,0.7959276252248823,0.08037745962072276,0.0,0.0,0.9361395645604098,0.5084086395349035,0.6711590296495957,0.18367014447496519,0.4184514003294893,3.9934820704388536
Херсонська,0.7746423990360322,0.006162855297876073,0.0,0.0,0.5696158985828856,0.6122031072153458,0.707196029776675,0.08357256206400701,0.4230769230769231,3.5294108611663826
Хмельницька,0.8344905774101811,0.028092139556310895,0.0,0.0,0.937376928423705,0.5115186676528745,0.4924874791318865,0.5112355547190149,0.37789203084832906,4.103437086380335
Черкаська,0.8024395706342263,0.0,0.0,0.0,0.5514715473324805,0.5277684393347841,0.5376146788990825,0.5708496877282921,0.44110275689223055,3.8124963120234403
Чернівецька,0.7896732334447327,0.14809140942175533,0.0,0.0,0.3712149970771841,0.7156585247423005,0.8015873015873016,0.0,0.16602316602316602,3.3247207025516
Чернігівська,0.8208930716251349,0.38164431974278723,0.0,0.0,0.7894126885325927,0.5575478955418983,0.422037422037422,0.7776570744226127,0.4653179190751445,4.682789323308436
