region,p7_01,p7_02,p7_06,p7_03,p7_07,P7
Волинська,0.05102207875983445,0.3653453946174744,0.0037414916339468603,0.5291933743975424,0.0038523274478330658,1.9063093337132626
Вінницька,0.2936277840573467,0.39745332638338976,0.0035359009772898127,0.8465536185584542,0.1187800963081862,3.3199014525693333
Дніпропетровська,0.08912066165143849,0.05337376096544929,0.0015281572922643428,0.5173652960036971,0.81669341894061,2.9561625897069184
Донецька,0.08501867024234362,0.942440904252572,0.0033906544828324944,0.11361504549463963,0.8452648475120386,3.9794602439688527
Житомирська,0.008858405678576363,0.24209833729080366,0.001673416111650323,0.42312088553996474,0.01637239165329053,1.3842468725485713
Закарпатська,0.0024204345347472673,0.27414096641930197,0.00375537136223856,0.2727355908303636,0.15409309791332262,1.4142909221199478
Запорізька,0.23267010071735375,0.8270638394111892,0.005304698112323762,0.34788498603665785,0.171107544141252,3.1680623368375525
Київська,1.0,0.9849864513112814,0.005377414299211892,0.2545846192282829,0.01958266452648475,4.529062298730522
Івано-Франківська,0.02317309211897357,0.3338332605565689,0.004398023191098502,0.10086695441590543,0.07479935794542536,1.0741413764559435
Кіровоградська,0.013740848949676381,0.7734424515865751,0.007317345053825084,0.6921303427331239,0.1438202247191011,3.260902426084603
Луганська,0.09608094314965682,0.9377237755304879,0.0069420075370367545,0.5113605885877307,0.0,3.1042146296098245
Львівська,0.011962065478698549,0.04555053957409174,0.0006546193300811377,0.2801986918086149,0.07608346709470305,0.8288987665723788
Миколаївська,0.0,0.3548001771060345,0.002009507842822038,0.3663156649897584,0.4365971107544141,2.319444921386058
Одеська,0.050431840855221566,0.735164714275289,0.003386538191205224,0.0,1.0,3.5779661866434314
Полтавська,0.10932047303754305,0.6439579942710074,0.004645455342273644,0.5803844168484656,0.09406099518459068,2.864738669367761
Рівненська,0.050903999429216924,0.0,0.00019986393878013815,0.26341817204464524,0.11171749598715891,0.8524790627996024
Сумська,0.061530411832442844,1.0,0.003961668183521602,0.5715035845910997,0.10240770465489567,3.47880673852392
Тернопільська,0.014975230224240627,0.18526454574039583,0.0020377386709207836,0.652922495161998,0.0,1.7104000195951103
Харківська,0.045968050085082014,0.7317895843315269,0.003531387065572474,1.0,0.5149277688603531,4.592433580685069
Херсонська,0.0316976281896539,0.2743502812428219,0.002827491179023998,0.8080083950391105,0.2465489566613162,2.726865504623853
Хмельницька,0.06469398947820783,0.5693992707507534,0.004864894799844937,0.31504367681846623,0.22279293739967898,2.3535895384939027
Черкаська,0.11039021423329412,0.8218049359584813,0.002763445344154753,0.6625125570994318,0.1245585874799358,3.444059480230595
Чернівецька,0.07929659996234503,0.7660173711397572,0.005090608479996519,0.5361680718659357,0.2346709470304976,3.242487196957064
Чернігівська,0.14344626618743014,0.0885317819316774,0.0005618808221203608,0.7506110893344234,0.0,1.9663020365513026
0,0.0,0.0,0.0,0.0,0.0,0.0
