region,p8_03,p8_04,p8_05,P8
Волинська,0.9166666666666665,0.6223920197132984,1.0,8.463528954599884
Вінницька,0.9166666666666665,0.5863985205587662,0.9213738997321087,8.081463623191805
Дніпропетровська,0.4999999999999999,0.902154019233458,1.0,8.007180064111527
Донецька,0.8333333333333333,0.95854297032418,1.0,9.306254345525044
Житомирська,0.9999999999999999,0.6974375873291696,1.0,8.991458624430566
Закарпатська,0.20833333333333326,0.7675375424469286,0.7380405663987754,5.713038140596791
Запорізька,0.8749999999999999,0.7193782134745389,0.9947560275545351,8.630447470096913
Київська,0.4999999999999999,0.9999999999999998,1.0,8.333333333333332
Івано-Франківська,0.7916666666666665,0.30309715730717346,0.0,3.6492127465794666
Кіровоградська,0.0,0.8301390408275766,1.0,6.1004634694252555
Луганська,0.9583333333333331,0.5908707415238043,1.0,8.497346916190459
Львівська,0.7083333333333333,0.9373825356236564,1.0,8.8190528965233
Миколаївська,0.9583333333333331,0.4319106159728999,1.0,7.9674798310207775
Одеська,0.5416666666666665,0.6465374468199698,1.0,7.294013711622122
Полтавська,0.6666666666666665,0.9890424164869301,1.0,8.85236361051199
Рівненська,0.9166666666666665,0.17102038306487444,1.0,6.95895683243847
Сумська,0.0,0.5988465684781507,1.0,5.329488561593836
Тернопільська,0.9166666666666665,0.5178969842631239,0.8097014925373134,7.480883811557012
Харківська,0.7499999999999999,0.9852742180692986,1.0,9.117580726897662
Херсонська,0.9999999999999999,0.30666542558165766,1.0,7.6888847519388595
Хмельницька,0.8333333333333333,0.7002262066266867,0.9928626100267891,8.421407166622696
Черкаська,0.9166666666666665,0.837753742678297,1.0,9.181401364483213
Чернівецька,0.7499999999999999,0.0,0.962724837351703,5.709082791172343
Чернігівська,0.9999999999999999,0.8663198492547688,0.8612292766934558,9.091830419827415
