region,p2_04_raw,p2_05_raw,p2_02_raw,p2_01_raw,p2_03_raw,p2_06_raw,p2_07_raw,p2_08_raw,p2_09_raw,p2_10_raw
Волинська,242483667.58,59384915.31,1103495220.53,707.1326610509877,0.8676399060944108,0.19944484865513443,3127.77,17900.48,529.38,327.45
Вінницька,489724780.38,156775257.17,2273348018.909999,944.6725726464572,1.006858373191989,0.865360932902844,9150.0,14663.61,118807.87,164.16
Дніпропетровська,1420569757.0,452003346.2500001,4323495164.98,809.2058723079566,0.5940554496186893,0.5148815436215282,92289.55,26585.06,0.0,0.0
Донецька,791203330.28,120387949.78,2166085021.54,379.7001691882704,0.6547021117310605,0.9048465440521012,948.88,4457.68,0.0,41.05
Житомирська,247220182.69,95936374.69,1616652684.94,851.6864766940256,0.9243263543219029,0.8168194494377528,1091.4,5049.55,459.66,87.26
Закарпатська,302292993.36,40888543.16,930518971.9000001,488.3481631956736,0.6926666291254716,0.6843566385747281,461.19,9772.83,37.74,70.59
Запорізька,369490465.75,168432496.43,2121844963.65,793.044771931816,0.6899781524411633,0.838534654907649,697.25,17342.17,2019.0,6935.88
Київська,1072424418.08,170764238.93,2694960998.56,914.764730286146,0.6893721248744966,0.5551844782198676,14440.05,123223.06,2775.1,8526.48
Івано-Франківська,497970257.37,114186183.89,1582029487.99,750.3459943593764,1.032691290457912,0.5701521105697166,1490.96,8162.42,12323.67,151.64
Кіровоградська,151469169.45,98156383.14999999,894598988.1400001,599.5179735659609,0.6311869372313136,0.6460309016516118,2136.4,15848.92,115.49,2.3
Луганська,212803078.62,29423374.59,541468806.72,187.8519975209227,0.6505823465963909,0.5691308488322747,70.84,4643.68,76.72,0.0
Львівська,922056735.1899999,111092906.44,2467915904.0,622.236010700681,0.6045394010718882,0.411917765235489,230771.48,12983.82,444.96,200.12
Миколаївська,189024856.58,79999747.94,1125728174.5,682.1483554429135,0.6740326005629688,0.3246425550278702,1539.8,10476.82,0.0,996.79
Одеська,1102721587.91,211658207.0599999,2491194855.15,647.0359325316302,0.591207844844916,0.6754432908007432,21290.98,61199.37,34.2,572.19
Полтавська,461821849.96,146944951.55,1935010514.67,859.7863380856164,0.6495453182915525,0.828248100318654,809.83,14493.8,926.04,4027.29
Рівненська,221940943.42,56237144.28,1003377995.94,605.5806310371835,0.7254878877544363,0.43840382583537474,1484.72,3844.71,232.34,2.77
Сумська,236965186.35,146285122.2,1683635179.87,1053.401566199802,1.046366956816354,0.3723094866429403,8151.31,5481.69,5377.8,562.33
Тернопільська,196924431.79,51896316.22,1049620195.16,655.4381160039381,0.9352283157929464,0.9640188680001276,7079.21,3586.32,2084.27,0.0
Харківська,986670655.48,224425789.02,3061571076.44,682.0255739855417,0.6208878266265591,0.47338102253569825,232802.0,14122.8,976.59,50.45
Херсонська,264617593.53,59758269.44000001,869329957.45,539.969588729739,0.6930927063532882,0.7081101449114523,1686.79,11792.04,1260.91,1.65
Хмельницька,149620804.27,87791902.90000002,1182723245.43,643.5418861125131,0.6781798291326671,0.7228534821720608,4813.91,4628.01,13902.92,47.79
Черкаська,248889065.88,96271105.46,1164931062.47,609.25097711162,0.6493792332707805,0.7415382704122407,11607.46,23736.11,229.82,0.0
Чернівецька,162574926.76,28855748.39,489036160.8999999,352.7591325978897,0.5539636554771445,0.3404356147975064,169.88,9157.89,1315.4,13.25
Чернігівська,249492686.2,102803138.45,1058406951.06,671.5616592117334,0.6995606992095231,0.5933037781576185,1603.36,15971.93,717.57,38.35
