region,p4_02_raw,p4_03_raw,p4_05_raw,p4_06_raw,p4_07_raw,p4_08_raw
Волинська,1.0,0.8779790276453765,0.010681198290753698,0.1004678453491194,0.42315789473684207,0.7353150239532404
Вінницька,0.9574468085106383,0.7975291695264242,0.006458945118192912,0.31510787730075734,0.360416666666667,0.7633007942115614
Дніпропетровська,0.7424242424242424,0.5400696864111498,0.01923148807801507,0.40497347787811844,0.37892857142857145,0.9309094497439903
Донецька,0.5617977528089888,0.4336810730253353,0.005602074007278344,0.568057159261807,0.545483870967742,0.5235500810232244
Житомирська,0.29577464788732394,0.2971105527638191,0.007660096701216899,0.19833625881235561,0.5046666666666667,0.5094575096646092
Закарпатська,1.0,0.9291882556131261,0.008564527388078603,0.08426553381465456,0.4553846153846154,0.6808041116539223
Запорізька,0.8734177215189873,0.5873563218390805,0.007340894369864234,0.2158693656815523,0.3803448275862069,0.762702623306747
Київська,0.9636363636363636,0.827708703374778,0.008817302112576635,0.3462831966874641,0.4023333333333334,0.7854361868588697
Івано-Франківська,1.0,1.0,0.020276599459073542,0.14410732814334476,0.4131666666666667,0.6979350751790842
Кіровоградська,0.8787878787878788,0.6879659211927582,0.0041456634682892615,0.20441461818342296,0.26895454545454534,0.7557778025084027
Луганська,1.0,0.7069306930693069,0.013252192006491038,0.22828221137335644,0.5295000000000001,0.5446098289867918
Львівська,0.8309859154929577,0.5470177324019344,0.006918479926448055,0.6319770035765523,0.43124,0.8408211767499726
Миколаївська,0.9615384615384616,0.7548022598870057,0.0027003713236858204,0.1205317218914488,0.45400000000000007,0.9302390220984302
Одеська,0.9423076923076923,0.6699288256227758,0.008321150714673403,0.15601166741098105,0.34137931034482755,0.8908046653565578
Полтавська,0.9545454545454546,0.5524266027561414,0.0023006790020843187,0.4309999956565181,0.4068181818181818,0.3392451757623098
Рівненська,0.9629629629629629,0.7807807807807807,0.013040129841199134,0.2538837397170287,0.4327272727272727,0.2562015732871442
Сумська,0.9714285714285714,0.5003441156228493,0.0012096696150347428,0.1009742673087122,0.24772727272727277,0.44919489599483564
Тернопільська,0.9428571428571428,0.7371031746031746,0.0005114508154799111,0.10069425280973635,0.4277272727272727,0.5557992310623122
Харківська,1.0,0.5029904306220095,0.010370860565705617,0.40539690736568057,0.3563333333333333,0.7970892052193437
Херсонська,0.8,0.5272727272727272,0.006986919133917824,0.237499985458505,0.47855555555555573,0.6899848313470435
Хмельницька,0.6944444444444444,0.271830985915493,0.002720403022670028,0.16532835295131668,0.472,0.6655202827410829
Черкаська,1.0,0.8525402726146221,0.007906467594316725,0.4712811991816337,0.1948777777777778,0.6325652084022151
Чернівецька,0.9,0.8790931989924433,,0.12423201985919709,0.555,0.8432797942691643
Чернігівська,0.9230769230769231,0.5336963921034718,0.0002613567089192999,0.022008531339642,0.4490416666666668,0.48889217458934503
