region,p7_01_raw,p7_02_raw,p7_06_raw,p7_03_raw
Волинська,0.0012371452872496714,0.0111271669269655,0.0037414916339468603,0.22348232154769845
Вінницька,0.007119667369140514,0.011984475253063865,0.0035359009772898127,0.2781399391568883
Дніпропетровська,0.002160931291679253,0.0027972663595203064,0.0015281572922643428,0.22144522144522144
Донецька,0.0020614692653673165,0.026536094196748596,0.0033906544828324944,0.15190901705930138
Житомирська,0.00021479200973723776,0.00783636859141394,0.001673416111650323,0.2052139037433155
Закарпатська,5.868889019308645e-05,0.008691933283098792,0.00375537136223856,0.17931367810536492
Запорізька,0.0056416109571172345,0.023455431167736195,0.005304698112323762,0.19225634178905207
Київська,0.024247253685468723,0.027672095481345867,0.005377414299211892,0.1761876127480457
Івано-Франківська,0.0005618838432854881,0.010285766892217047,0.004398023191098502,0.1497134670487106
Кіровоградська,0.00033317785033650963,0.02202369577680107,0.007317345053825084,0.2515442690459849
Луганська,0.002329699002888827,0.026410142959583785,0.0069420075370367545,0.22041105598866054
Львівська,0.00029004723626419157,0.0025883798798610504,0.0006546193300811377,0.18059901654000893
Миколаївська,0.0,0.010845600900259513,0.002009507842822038,0.1954305799648506
Одеська,0.0012228336390417431,0.0210016485412327,0.003386538191205224,0.1323415765069552
Полтавська,0.00265072124275675,0.018566353704247935,0.004645455342273644,0.23229873908826382
Рівненська,0.0012342821877651777,0.001372142810471333,0.00019986393878013815,0.17770897832817337
Сумська,0.001491943505072608,0.028072969645055946,0.003961668183521602,0.23076923076923078
Тернопільська,0.00036310820624546115,0.006318859364873623,0.0020377386709207836,0.24479166666666666
Харківська,0.0011145989718393157,0.020911529781060086,0.003531387065572474,0.3045673628643562
Херсонська,0.0007685804319422028,0.008697522161955509,0.002827491179023998,0.2715014577259475
Хмельницька,0.0015686515748031496,0.01657557413852596,0.004864894799844937,0.18660022148394242
Черкаська,0.0026766595289079227,0.02331501409730564,0.002763445344154753,0.24644332262505736
Чернівецька,0.0019227247756821095,0.021825439989557726,0.005090608479996519,0.22468354430379747
Чернігівська,0.003478178006479893,0.0037360145891862586,0.0005618808221203608,0.26161616161616164
,,,,
