region,p8_03_raw,p8_04_raw
Волинська,3.0,0.23423633815973843
Вінницька,3.0,0.24725123694337547
Дніпропетровська,13.0,0.13307712350182388
Донецька,5.0,0.1126874279123414
Житомирська,1.0,0.2071005917159763
Закарпатська,20.0,0.18175313059033987
Запорізька,4.0,0.1991670749632533
Київська,13.0,0.09769696969696968
Івано-Франківська,6.0,0.34969025105966745
Кіровоградська,25.0,0.15911703839963212
Луганська,2.0,0.2456341253936444
Львівська,8.0,0.12033883503624139
Миколаївська,2.0,0.3031125588128845
Одеська,12.0,0.22550558685012465
Полтавська,9.0,0.10165912518853697
Рівненська,3.0,0.39744792644023275
Сумська,,0.24275014403687342
Тернопільська,3.0,0.27202072538860106
Харківська,7.0,0.10302166904101372
Херсонська,1.0,0.3484
Хмельницька,5.0,0.2060922541340296
Черкаська,3.0,0.15636363636363637
Чернівецька,7.0,0.45928723153174417
Чернігівська,1.0,0.14603441040704992
